"","File.name","run","number","Average","Max","Tissue","Tissue2"
"1","Run0_1_","0","1",16097.9,16263,"Plasma","Plasma"
"2","Run0_10","0","10",10804.4,10933,"Plasma","Plasma"
"3","Run0_11","0","11",3116.6,3157,"Plasma","Plasma"
"4","Run0_14","0","14",545.2,552,"Plasma","Plasma"
"5","Run0_16","0","16",6434.5,6532,"Plasma","Plasma"
"6","Run0_17","0","17",2890.9,2922,"Stock","Plasma"
"7","Run0_3_","0","3",24846,26446,"Plasma","Plasma"
"8","Run0_5_","0","5",9764.8,9855,"Plasma","Plasma"
"9","Run0_6_","0","6",11462.1,12137,"Plasma","Plasma"
"10","Run0_8_","0","8",10998.4,12046,"Plasma","Plasma"
"11","Run2_1_","2","1",10304.3,12332,"Plasma","Plasma"
"12","Run2_10","2","10",12752.9,16218,"Plasma","Plasma"
"13","Run2_11","2","11",9212,11643,"Plasma","Plasma"
"14","Run2_13","2","13",8108.9,9900,"Plasma","Plasma"
"15","Run2_19","2","19",6320.2,7723,"Plasma","Plasma"
"16","Run2_20","2","20",8717.2,10091,"Plasma","Plasma"
"17","Run2_21","2","21",11979.1,14140,"Plasma","Plasma"
"18","Run2_22","2","22",10141.8,12074,"Plasma","Plasma"
"19","Run2_5_","2","5",7948.6,9527,"Plasma","Plasma"
"20","Run2_9_","2","9",5576,6906,"Plasma","Plasma"
"21","Run3_1_","3","1",16530.6,17536,"Plasma","Plasma"
"22","Run3_10","3","10",14482.8,15127,"Plasma","Plasma"
"23","Run3_11","3","11",19071.7,20239,"Plasma","Plasma"
"24","Run3_12","3","12",17680.8,18473,"Plasma","Plasma"
"25","Run3_13","3","13",12536.7,13098,"Plasma","Plasma"
"26","Run3_14","3","14",17499.7,18265,"Plasma","Plasma"
"27","Run3_15","3","15",14463.6,15092,"Plasma","Plasma"
"28","Run3_16","3","16",19963.7,20864,"Plasma","Plasma"
"29","Run3_17","3","17",23209.8,24255,"Plasma","Plasma"
"30","Run3_18","3","18",20584.4,21475,"Plasma","Plasma"
"31","Run3_19","3","19",2214,2543,"Plasma","Plasma"
"32","Run3_2_","3","2",16810.7,18495,"Plasma","Plasma"
"33","Run3_20","3","20",19147,20089,"Plasma","Plasma"
"34","Run3_21","3","21",23752.1,24829,"Plasma","Plasma"
"35","Run3_22","3","22",24904.4,26372,"Plasma","Plasma"
"36","Run3_23","3","23",3980.8,4033,"Plasma","Plasma"
"37","Run3_3_","3","3",14562.2,15445,"Plasma","Plasma"
"38","Run3_4_","3","4",18380.7,19444,"Plasma","Plasma"
"39","Run3_5_","3","5",16269.1,17764,"Plasma","Plasma"
"40","Run3_6_","3","6",13231.8,14044,"Plasma","Plasma"
"41","Run3_7_","3","7",18161.9,18962,"Plasma","Plasma"
"42","Run3_8_","3","8",6399.7,6682,"Plasma","Plasma"
"43","Run3_9_","3","9",16647.2,21334,"Plasma","Plasma"
"44","Run4_17","4","17",9795.5,10259,"Plasma","Plasma"
"45","Run4_18","4","18",9470.2,12029,"Plasma","Plasma"
"46","Run4_19","4","19",9080,9482,"Plasma","Plasma"
"47","Run4_20","4","20",11910.3,12489,"Plasma","Plasma"
"48","Run4_21","4","21",16613.1,18537,"Plasma","Plasma"
"49","Run4_22","4","22",9995.6,10433,"Plasma","Plasma"
"50","Run4_23","4","23",8298.3,8662,"Plasma","Plasma"
"51","Run5_1_","5","1",305.5,316,"LN","Tissue"
"52","Run5_10","5","10",169.2,172,"LN","Tissue"
"53","Run5_12","5","12",3038.7,3176,"Plasma","Plasma"
"54","Run5_13","5","13",8908.6,9312,"Plasma","Plasma"
"55","Run5_14","5","14",651,661,"Plasma","Plasma"
"56","Run5_15","5","15",2530,2645,"Plasma","Plasma"
"57","Run5_16","5","16",271.4,275,"Plasma","Plasma"
"58","Run5_17","5","17",553.1,578,"Plasma","Plasma"
"59","Run5_2_","5","2",529.1,556,"LN","Tissue"
"60","Run5_3_","5","3",388.2,394,"LN","Tissue"
"61","Run5_4_","5","4",83,87,"LN","Tissue"
